"TID","CommonName","Subspecies","Longitude","Latitude","taxa","Year","Count","cv","Units","Region"
"MUSP124","Slosarczykovia circumantarctica",NA,NA,NA,"Unexploited small pelagics",2006,1.39946153846154e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP124","Slosarczykovia circumantarctica",NA,NA,NA,"Unexploited small pelagics",2008,3.65439333333333e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP125","Stomias gracilis",NA,NA,NA,"Unexploited small pelagics",1999,1.70784375e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP125","Stomias gracilis",NA,NA,NA,"Unexploited small pelagics",2000,3.8859358974359e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP125","Stomias gracilis",NA,NA,NA,"Unexploited small pelagics",2004,2.67714285714286e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP125","Stomias gracilis",NA,NA,NA,"Unexploited small pelagics",2006,2.1635e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP125","Stomias gracilis",NA,NA,NA,"Unexploited small pelagics",2008,1.185e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP125","Stomias gracilis",NA,NA,NA,"Unexploited small pelagics",2009,7.07e-06,NA,"Counts per m3","Antartica continental shelf"
"MUSP126","Trematomus eulepidotus",NA,NA,NA,"Unexploited small pelagics",2008,0.000265194,NA,"Counts per m3","Antartica continental shelf"
"MUSP126","Trematomus eulepidotus",NA,NA,NA,"Unexploited small pelagics",2011,0.000246485,NA,"Counts per m3","Antartica continental shelf"
"MUSP127","Trematomus lepidorhinus",NA,NA,NA,"Unexploited small pelagics",2002,0.003313826,NA,"Counts per m3","Antartica continental shelf"
"MUSP127","Trematomus lepidorhinus",NA,NA,NA,"Unexploited small pelagics",2004,0.000489901,NA,"Counts per m3","Antartica continental shelf"
"MUSP127","Trematomus lepidorhinus",NA,NA,NA,"Unexploited small pelagics",2005,0.001266313,NA,"Counts per m3","Antartica continental shelf"
"MUSP127","Trematomus lepidorhinus",NA,NA,NA,"Unexploited small pelagics",2006,0.001103856,NA,"Counts per m3","Antartica continental shelf"
"MUSP127","Trematomus lepidorhinus",NA,NA,NA,"Unexploited small pelagics",2008,0.000206389,NA,"Counts per m3","Antartica continental shelf"
"MUSP128","Trematomus loennbergii",NA,NA,NA,"Unexploited small pelagics",1996,0.0001177926,NA,"Counts per m3","Antartica continental shelf"
"MUSP128","Trematomus loennbergii",NA,NA,NA,"Unexploited small pelagics",2014,0.000239881,NA,"Counts per m3","Antartica continental shelf"
"MUSP129","Trematomus newnesi",NA,NA,NA,"Unexploited small pelagics",2002,0.0008110348,NA,"Counts per m3","Antartica continental shelf"
"MUSP129","Trematomus newnesi",NA,NA,NA,"Unexploited small pelagics",2008,0.002308338,NA,"Counts per m3","Antartica continental shelf"
"MUSP129","Trematomus newnesi",NA,NA,NA,"Unexploited small pelagics",2011,0.00663639866666667,NA,"Counts per m3","Antartica continental shelf"
"MUSP129","Trematomus newnesi",NA,NA,NA,"Unexploited small pelagics",2014,0.0014237958,NA,"Counts per m3","Antartica continental shelf"
"MUSP13","Benthalbella elongata",NA,NA,NA,"Unexploited small pelagics",1991,8.96666666666667e-06,NA,"Counts per m3","Antartica continental shelf"
"MUSP13","Benthalbella elongata",NA,NA,NA,"Unexploited small pelagics",1998,4.884e-06,NA,"Counts per m3","Antartica continental shelf"
"MUSP13","Benthalbella elongata",NA,NA,NA,"Unexploited small pelagics",1999,9.79181818181818e-06,NA,"Counts per m3","Antartica continental shelf"
"MUSP13","Benthalbella elongata",NA,NA,NA,"Unexploited small pelagics",2000,7.045e-06,NA,"Counts per m3","Antartica continental shelf"
"MUSP13","Benthalbella elongata",NA,NA,NA,"Unexploited small pelagics",2004,1.511375e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP13","Benthalbella elongata",NA,NA,NA,"Unexploited small pelagics",2006,1.661e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP13","Benthalbella elongata",NA,NA,NA,"Unexploited small pelagics",2008,1.31133333333333e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP13","Benthalbella elongata",NA,NA,NA,"Unexploited small pelagics",2009,1.392e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP13","Benthalbella elongata",NA,NA,NA,"Unexploited small pelagics",2016,3.579375e-06,NA,"Counts per m3","Antartica continental shelf"
"MUSP130","Trematomus pennellii",NA,NA,NA,"Unexploited small pelagics",2002,0.000407698,NA,"Counts per m3","Antartica continental shelf"
"MUSP130","Trematomus pennellii",NA,NA,NA,"Unexploited small pelagics",2014,0.0009130645,NA,"Counts per m3","Antartica continental shelf"
"MUSP131","Trematomus scotti",NA,NA,NA,"Unexploited small pelagics",1996,0.000112972,NA,"Counts per m3","Antartica continental shelf"
"MUSP131","Trematomus scotti",NA,NA,NA,"Unexploited small pelagics",2002,0.000767698,NA,"Counts per m3","Antartica continental shelf"
"MUSP131","Trematomus scotti",NA,NA,NA,"Unexploited small pelagics",2004,0.000297998,NA,"Counts per m3","Antartica continental shelf"
"MUSP131","Trematomus scotti",NA,NA,NA,"Unexploited small pelagics",2005,0.000920413611111111,NA,"Counts per m3","Antartica continental shelf"
"MUSP131","Trematomus scotti",NA,NA,NA,"Unexploited small pelagics",2006,0.000253922,NA,"Counts per m3","Antartica continental shelf"
"MUSP131","Trematomus scotti",NA,NA,NA,"Unexploited small pelagics",2011,0.004317079375,NA,"Counts per m3","Antartica continental shelf"
"MUSP131","Trematomus scotti",NA,NA,NA,"Unexploited small pelagics",2015,0.000404966,NA,"Counts per m3","Antartica continental shelf"
"MUSP132","Trigonolampa miriceps",NA,NA,NA,"Unexploited small pelagics",1998,5.45e-06,NA,"Counts per m3","Antartica continental shelf"
"MUSP132","Trigonolampa miriceps",NA,NA,NA,"Unexploited small pelagics",1999,5.12e-06,NA,"Counts per m3","Antartica continental shelf"
"MUSP132","Trigonolampa miriceps",NA,NA,NA,"Unexploited small pelagics",2000,5.035e-06,NA,"Counts per m3","Antartica continental shelf"
"MUSP133","Woodsia meyerwaardeni",NA,NA,NA,"Unexploited small pelagics",1999,NA,NA,"Counts per m3","Antartica continental shelf"
"MUSP134","Zanclorhynchus spinifer",NA,NA,NA,"Unexploited small pelagics",1998,8.13e-06,NA,"Counts per m3","Antartica continental shelf"
"MUSP134","Zanclorhynchus spinifer",NA,NA,NA,"Unexploited small pelagics",1999,1.12133333333333e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP14","Benthalbella macropinna",NA,NA,NA,"Unexploited small pelagics",1999,1.24346153846154e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP14","Benthalbella macropinna",NA,NA,NA,"Unexploited small pelagics",2000,4.81e-06,NA,"Counts per m3","Antartica continental shelf"
"MUSP14","Benthalbella macropinna",NA,NA,NA,"Unexploited small pelagics",2004,1.0544e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP14","Benthalbella macropinna",NA,NA,NA,"Unexploited small pelagics",2006,9.16e-06,NA,"Counts per m3","Antartica continental shelf"
"MUSP14","Benthalbella macropinna",NA,NA,NA,"Unexploited small pelagics",2008,9.985e-06,NA,"Counts per m3","Antartica continental shelf"
"MUSP14","Benthalbella macropinna",NA,NA,NA,"Unexploited small pelagics",2009,1.615125e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP14","Benthalbella macropinna",NA,NA,NA,"Unexploited small pelagics",2016,2.734e-06,NA,"Counts per m3","Antartica continental shelf"
"MUSP14","Benthalbella macropinna",NA,NA,NA,"Unexploited small pelagics",2019,0.000145804,NA,"Counts per m3","Antartica continental shelf"
"MUSP15","Borostomias antarcticus",NA,NA,NA,"Unexploited small pelagics",1991,1.22177777777778e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP15","Borostomias antarcticus",NA,NA,NA,"Unexploited small pelagics",1998,4.93e-06,NA,"Counts per m3","Antartica continental shelf"
"MUSP15","Borostomias antarcticus",NA,NA,NA,"Unexploited small pelagics",1999,1.2644e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP15","Borostomias antarcticus",NA,NA,NA,"Unexploited small pelagics",2006,1.55781818181818e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP15","Borostomias antarcticus",NA,NA,NA,"Unexploited small pelagics",2008,2.217e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP15","Borostomias antarcticus",NA,NA,NA,"Unexploited small pelagics",2009,1.4144e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP15","Borostomias antarcticus",NA,NA,NA,"Unexploited small pelagics",2016,2.24666666666667e-06,NA,"Counts per m3","Antartica continental shelf"
"MUSP16","Chaenocephalus aceratus",NA,NA,NA,"Unexploited small pelagics",1998,0.00034720725,NA,"Counts per m3","Antartica continental shelf"
"MUSP16","Chaenocephalus aceratus",NA,NA,NA,"Unexploited small pelagics",2004,1.56e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP16","Chaenocephalus aceratus",NA,NA,NA,"Unexploited small pelagics",2013,0.000549796,NA,"Counts per m3","Antartica continental shelf"
"MUSP16","Chaenocephalus aceratus",NA,NA,NA,"Unexploited small pelagics",2014,0.000274551,NA,"Counts per m3","Antartica continental shelf"
"MUSP16","Chaenocephalus aceratus",NA,NA,NA,"Unexploited small pelagics",2015,0.000346958,NA,"Counts per m3","Antartica continental shelf"
"MUSP16","Chaenocephalus aceratus",NA,NA,NA,"Unexploited small pelagics",NA,NA,NA,"Counts per m3","Antartica continental shelf"
