Family;Genus;Species;Year;Sub-Region;Month;Season;Period;Gear_Name;Catchability;Tot.Weight_(t);Tot.Density_(t/km2);Volume_(m3);Surface_(m2);Mean_Depth_Catch;Case;Reference,,,,,,,,,,,
Evermannellidae;Evermannella;balbo;2009;West;NA;NA;NA;GOC;0.16;6;0.000394705;NA;0.0950076;NA;4;IFREMER,,,,,,,,,,,
Gonostomatidae;Cyclothone;braueri;2001;West;NA;NA;NA;GOC;0.16;141;0.0082985215;NA;0.1189078;NA;4;IFREMER,,,,,,,,,,,
Gonostomatidae;Cyclothone;braueri;2002;West;NA;NA;NA;GOC;0.16;5;0.0003217049;NA;0.09923938;NA;4;IFREMER,,,,,,,,,,,
Gonostomatidae;Cyclothone;braueri;2004;West;NA;NA;NA;GOC;0.16;25;0.0014209639;NA;0.108668883333333;NA;4;IFREMER,,,,,,,,,,,
Gonostomatidae;Cyclothone;braueri;2005;West;NA;NA;NA;GOC;0.16;1;0.000111229;NA;0.0561905;NA;4;IFREMER,,,,,,,,,,,
Gonostomatidae;Cyclothone;braueri;2008;West;NA;NA;NA;GOC;0.16;1;5.45924e-05;NA;0.1144848;NA;4;IFREMER,,,,,,,,,,,
Gonostomatidae;Cyclothone;pygmaea;1994;West;NA;NA;NA;GOC;0.16;3;0.000247145;NA;0.0759446;NA;4;IFREMER,,,,,,,,,,,
Gonostomatidae;Cyclothone;pygmaea;1995;West;NA;NA;NA;GOC;0.16;2;0.000135015;NA;0.09263265;NA;4;IFREMER,,,,,,,,,,,
Gonostomatidae;Cyclothone;pygmaea;1996;West;NA;NA;NA;GOC;0.16;1;7.33372e-05;NA;0.0852228;NA;4;IFREMER,,,,,,,,,,,
Gonostomatidae;Cyclothone;pygmaea;2005;West;NA;NA;NA;GOC;0.16;26;0.001368094;NA;0.1052035;NA;4;IFREMER,,,,,,,,,,,
Gonostomatidae;Cyclothone;pygmaea;2006;West;NA;NA;NA;GOC;0.16;3;0.000235882;NA;0.079489;NA;4;IFREMER,,,,,,,,,,,
Gonostomatidae;Cyclothone;spp.;1995;West;NA;NA;NA;GOC;0.16;1;6.89841e-05;NA;0.0906006;NA;4;IFREMER,,,,,,,,,,,
Gonostomatidae;Cyclothone;spp.;1999;East;NA;NA;NA;GOC;0.16;1;7.26969e-05;NA;0.0859734;NA;4;IFREMER,,,,,,,,,,,
Gonostomatidae;Cyclothone;spp.;2000;West;NA;NA;NA;GOC;0.16;1;8.06768e-05;NA;0.0774696;NA;4;IFREMER,,,,,,,,,,,
Gonostomatidae;Cyclothone;spp.;2011;West;NA;NA;NA;GOC;0.16;4;0.000234866;NA;0.1064437;NA;4;IFREMER,,,,,,,,,,,
Gonostomatidae;Gonostoma;denudatum;1995;West;NA;NA;NA;GOC;0.16;45;0.002819578;NA;0.1015995;NA;4;IFREMER,,,,,,,,,,,
Gonostomatidae;Gonostoma;denudatum;1996;East;NA;NA;NA;GOC;0.16;3;0.000234592;NA;0.079926;NA;4;IFREMER,,,,,,,,,,,
Gonostomatidae;Gonostoma;denudatum;1996;Ion;NA;NA;NA;GOC;0.16;54;0.003602373;NA;0.0923766;NA;4;IFREMER,,,,,,,,,,,
Gonostomatidae;Gonostoma;denudatum;1996;West;NA;NA;NA;GOC;0.16;90;0.0058185;NA;0.0966744;NA;4;IFREMER,,,,,,,,,,,
